Key,en,he,it,es,fr,ar,ru
sub_Accessories_Consumables_Kitchen_Cleaning_,Accessories & Consumables,אביזרים ומתכלים,Accessori e consumabili,Accesorios y consumibles,Accessoires et consommables,ملحقات ومواد استهلاكية,Аксессуары и расходные материалы
sub_Personal_Hygiene,Personal Hygiene,היגיינה אישית,Igiene personale,Higiene personal,Hygiène personnelle,نظافة شخصية,Личная гигиена
sub_Paper_Products,Paper Products,מוצרי נייר,Prodotti di carta,Productos de papel,Produits en papier,منتجات ورقية,Бумажная продукция
sub_First_Aid_OTC_Medicines,First Aid & OTC,עזרה ראשונה ותרופות,Primo soccorso e OTC,Primeros auxilios y OTC,Premiers soins et OTC,إسعافات أولية وأدوية,Первая помощь и безрецептурные препараты
sub_Electrical_Lighting,Electrical & Lighting,חשמל ותאורה,Elettricità e illuminazione,Electricidad e iluminación,Électricité et éclairage,كهرباء وإضاءة,Электрооборудование и освещение
sub_Miscellaneous_Maintenance,Misc. & Maintenance,שונות ותחזוקה,Varie e manutenzione,Varios y mantenimiento,Divers et entretien,متفرقات وصيانة,Разное и техническое обслуживание
sub_Stationery_Desk_Supplies,Stationery & Desk,ציוד משרדי,Cancelleria e scrivania,Papelería y escritorio,Papeterie et bureau,قرطاسية ولوازم مكتبية,Канцелярские товары и письменные принадлежности
sub_Hand_Tools,Hand Tools,כלי עבודה ידניים,Utensili manuali,Herramientas manuales,Outils manuels,أدوات يدوية,Ручные инструменты
sub_Materials_Accessories,Materials & Acc.,חומרים ואביזרים,Materiali e acc.,Materiales y acc.,Matériaux et acc.,مواد وملحقات,Материалы и принадлежности.
sub_Power_Tools_Basic_for_Home_,Power Tools,כלי עבודה חשמליים,Elettroutensili,Herramientas eléctricas,Outils électriques,أدوات كهربائية,Электроинструменты
sub_Pain_Relievers_Fever_Reducers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم,Обезболивающие
sub_First_Aid_Supplies,First Aid Supplies,ציוד עזרה ראשונה,Forniture primo soccorso,Suministros primeros auxilios,Fournitures premiers soins,مستلزمات الإسعافات الأولية,Принадлежности для оказания первой помощи
sub_Topical_Treatments_Ointments,Ointments,טיפולים ומשחות,Trattamenti topici,Tratamientos tópicos,Traitements topiques,علاجات موضعية ومراهم,Мази
sub_Miscellaneous_Winter_Illnesses,Winter Illnesses,מחלות חורף,Malattie invernali,Enfermedades de invierno,Maladies d'hiver,أمراض الشتاء,Зимние болезни
sub_Pots_Pans,Pots & Pans,סירים ומחבתות,Pentole e padelle,Ollas y sartenes,Casseroles et poêles,أواني ومقالي,Кастрюли и сковородки
sub_Dinnerware_Serving,Dinnerware,כלי הגשה ואוכל,Stoviglie,Vajilla,Vaisselle,أطباق وتقديم,Столовая посуда
sub_Cooking_Baking_Cutting_Accessories,Cooking Accessories,אביזרי בישול ואפייה,Accessori cucina,Accesorios cocina,Accessoires cuisine,ملحقات طبخ,Кухонные принадлежности
sub_Storage_Organization,Storage & Org.,אחסון וארגון,Conservazione e org.,Almacenamiento y org.,Rangement et org.,تخزين وتنظيم,Хранение и организация.
sub_Small_Kitchen_Appliances_Basic_,Small Appliances,מכשירי חשמל קטנים,Piccoli elettrodomestici,Pequeños electrodomésticos,Petits appareils,أجهزة مطبخ صغيرة,Мелкая бытовая техника
sub_Entertainment_Computing,Entertainment & Tech,בידור ומחשוב,Intrattenimento e tech,Entretenimiento y tec.,Divertissement et tech.,ترفيه وحوسبة,Развлечения и технологии
sub_Major_Appliances_White_Goods_,Major Appliances,מוצרי חשמל גדולים,Grandi elettrodomestici,Electrodomésticos principales,Gros électroménager,أجهزة رئيسية,Крупная бытовая техника
sub_Small_Home_Appliances_Smart_Tech,Smart Tech & Small App,מכשירים חכמים לבית,Smart Tech e piccoli app,Smart Tech y pequeños elec,Smart Tech et petits app,أجهزة ذكية ومنزلية,Умные технологии и небольшие приложения
sub_Everyday_Clothing,Everyday Clothing,ביגוד יומיומי,Abbigliamento quotidiano,Ropa de uso diario,Vêtements de tous les jours,ملابس يومية,Повседневная одежда
sub_Intimates_Loungewear,Intimates & Lounge,הלבשה תחתונה,Intimo e casa,Ropa íntima y estar,Sous-vêtements et détente,ملابس داخلية,Нижнее белье и одежда для отдыха
sub_Winter_Transitional_Clothing,Winter Clothing,בגדי חורף,Abbigliamento invernale,Ropa de invierno,Vêtements d'hiver,ملابس شتوية,Зимняя одежда
sub_Footwear_Accessories,Footwear & Acc.,הנעלה ואביזרים,Calzature e acc.,Calzado y acc.,Chaussures et acc.,أحذية وملحقات,Обувь и аксессуары
sub_Bed_Linens,Bed Linens,מצעים,Biancheria da letto,Ropa de cama,Linge de lit,مفارش سرير,Постельное белье
sub_Bath_Kitchen_Textiles,Bath & Kitchen Tex.,טקסטיל אמבט ומטבח,Tessuti bagno e cucina,Textiles baño y cocina,Textiles bain et cuisine,منسوجات حمام ومطبخ,Ванные и кухонные принадлежности.
sub_Food_Feeding,Food & Feeding,אוכל והאכלה,Cibo e alimentazione,Comida y alimentación,Nourriture et alimentation,طعام وإطعام,Кормление животных
sub_Care_Accessories,Care & Accessories,טיפוח ואביזרים,Cura e accessori,Cuidado y accesorios,Soins et accessoires,عناية وملحقات,Уход и аксессуары
sub_Feeding_Nursing,Feeding & Nursing,האכלה והנקה,Alimentazione e allattamento,Alimentación y lactancia,Alimentation et allaitement,إطعام ورضاعة,Кормление и грудное вскармливание
sub_Diapering_Hygiene,Diapering & Hygiene,החתלה והיגיינה,Pannolini e igiene,Pañales e higiene,Couches et hygiène,تغيير حفاضات ونظافة,Смена подгузников и гигиена
sub_Gear_Travel,Gear & Travel,ציוד ונסיעות,Attrezzatura e viaggio,Equipo y viaje,Équipement et voyage,معدات وسفر,Снаряжение и путешествия
sub_Gardening_Tools,Gardening Tools,כלי גינון,Attrezzi giardinaggio,Herramientas jardinería,Outils jardinage,أدوات زراعة,Садовые инструменты
sub_Outdoor_Maintenance,Outdoor Maintenance,תחזוקת חוץ,Manutenzione esterna,Mantenimiento exterior,Entretien extérieur,صيانة خارجية,Уход за наружными поверхностями
sub_Outdoor_Living_Entertainment,Outdoor Living,פנאי בחוץ,Vita all'aperto,Vida al aire libre,Vie en plein air,معيشة خارجية,Жизнь на свежем воздухе
sub_Home_Gym_Basics,Home Gym Basics,ציוד כושר בסיסי,Base palestra casa,Gimnasio casa básico,Base gym domicile,أساسيات صالة رياضية,Основы домашнего спортзала
sub_Recovery_Support,Recovery & Support,התאוששות ותמיכה,Recupero e supporto,Recuperación y apoyo,Récupération et soutien,تعافي ودعم,Восстановление и поддержка
sub_Action_Figures_Playsets,Action Figures,בובות פעולה,Action figure,Figuras de acción,Figurines d'action,مجسمات حركة,Фигурки героев
sub_Building_Blocks_Construction,Building Blocks,קוביות בנייה,Costruzioni,Bloques de construcción,Blocs de construction,مكعبات بناء,Строительные блоки
sub_Dolls_Accessories,Dolls & Acc.,בובות ואביזרים,Bambole e acc.,Muñecas y acc.,Poupées et acc.,دمى وملحقات,Куклы и аксессуары.
sub_Vehicles_Remote_Control,Vehicles & RC,רכבים ושלט,Veicoli e RC,Vehículos y RC,Véhicules et RC,مركبات وتحكم,Транспортные средства и радиоуправляемые модели
sub_Arts_Crafts,Arts & Crafts,יצירה ואומנות,Arti e mestieri,Artes y manualidades,Arts et bricolage,فنون وحرف,Искусство и ремесла
sub_Board_Games_Puzzles,Board Games,משחקי קופסה,Giochi da tavolo,Juegos de mesa,Jeux de société,ألعاب لوحية,Настольные игры
sub_Plush_Stuffed_Animals,Plush Toys,בובות פרווה,Peluche,Peluches,Peluches,حيوانات محشوة,Мягкие игрушки
sub_Educational_STEM_Toys,Educational Toys,צעצועים חינוכיים,Giocattoli educativi,Juguetes educativos,Jouets éducatifs,ألعاب تعليمية,Развивающие игрушки
item_Milk,Milk,חלב,Latte,Leche,Lait,حليب,Молоко
item_Yellow_cheese,Yellow Cheese,גבינה צהובה,Formaggio giallo,Queso amarillo,Fromage à pâte dure,جبן أصفر,Желтый сыр
item_Soft_cheeses_white_cheese_cottage_cheese_,Soft Cheeses,גבינות רכות,Formaggi a pasta molle,Quesos blandos,Fromages à pâte molle,أجبان طرية,Мягкие сыры
item_White_cheese,White Cheese,גבינה לבנה,Formaggio bianco,Queso blanco,Fromage blanc,جبن أبيض,Белый сыр
item_Cottage_cheese,Cottage Cheese,קוטג',Fiocchi di latte,Requesón,Fromage cottage,جبن قريش,Творог
item_Butter_Margarine,Butter / Margarine,חמאה / מרגרינה,Burro / Margarina,Mantequilla / Margarina,Beurre / Margarine,زبدة / سمن,Сливочное масло / Маргарин
item_Butter,Butter,חמאה,Burro,Mantequilla,Beurre,زبدة,Масло
item_Margarine,Margarine,מרגרינה,Margarina,Margarina,Margarine,سمن نباتي,Маргарин
item_Yogurts_and_puddings,Yogurts & Puddings,יוגורטים ומעדנים,Yogurt e budini,Yogures y pudines,Yaourts et crèmes desserts,زبادي وبودنغ,Йогурты и пудинги
item_Yogurts,Yogurts,יוגורטים,Yogurt,Yogures,Yaourts,زبادي,Йогурты
item_Puddings,Puddings,מעדנים/פודינג,Budini,Pudines,Crèmes desserts,بودنغ,Пудинги
item_Cream_sour_sweet_for_cooking_whipping_,Cream,שמנת,Panna,Crema,Crème,كريمة,Крем
item_Sour_cream,Sour Cream,שמנת חמוצה,Panna acida,Crema agria,Crème aigre,قشدة حامضة,Сметана
item_Sweet_cream,Sweet Cream,שמנת מתוקה,Panna dolce,Crema dulce,Crème douce,قشدة حلوة,Сладкий крем
item_Eggs,Eggs,ביצים,Uova,Huevos,Œufs,بيض,Яйца
item_Plant_based_milk_almond_oat_soy_,Plant Milk,חלב צמחי,Latte vegetale,Leche vegetal,Lait végétal,حليب نباتي,Растительное молоко
item_Almond_milk,Almond Milk,חלב שקדים,Latte di mandorla,Leche de almendras,Lait d'amande,حليب اللوز,Миндальное молоко
item_Oat_milk,Oat Milk,חלב שיבולת שועל,Latte di avena,Leche de avena,Lait d'avoine,حليب الشوفان,Овсяное молоко
item_Soy_milk,Soy Milk,חלב סויה,Latte di soia,Leche de soja,Lait de soja,حليب الصويا,Соевое молоко
item_Chicken_breast_Schnitzels_fresh_or_frozen_,Chicken Breast,חזה עוף / שניצל,Petto di pollo,Pechuga de pollo,Blanc de poulet,صدر دجاج,Куриная грудка
item_Chicken_breast,Chicken Breast,חזה עוף,Petto di pollo,Pechuga de pollo,Blanc de poulet,صدر دجاج,Куриная грудка
item_Schnitzels,Schnitzels,שניצלים,Cotolette,Escalopes,Escalopes,شنيتزل,Шницели
item_Beef_minced_for_goulash_steaks_,Beef,בשר בקר,Manzo,Carne de res,Bœuf,لحم بقر,Говядина
item_Minced_beef,Minced Beef,בשר טחון,Carne macinata,Carne picada,Viande hachée,لحم مفروم,Говяжий фарш
item_Beef_steaks,Beef Steaks,סטייקים,Bistecche di manzo,Filetes de res,Steaks de bœuf,شرائح لحم بقر,Говяжьи стейки
item_Goulash_meat,Goulash Meat,בשר לגולש,Carne per gulasch,Carne para gulash,Viande à goulash,لحم غولاش,Мясо для гуляша
item_Fish_salmon_tilapia_tuna_,Fish,דגים,Pesce,Pescado,Poisson,سمك,Рыба
item_Salmon,Salmon,סלמון,Salmone,Salmón,Saumon,سلمون,Лосось
item_Tilapia,Tilapia,אמנון (מושט),Tilapia,Tilapia,Tilapia,بلطي,Тилапия
item_Tuna,Tuna,טונה,Tonno,Atún,Thon,تونة,Тунец
item_Sausages,Sausages,נקניקיות,Salsicce,Salchichas,Saucisses,نقانق,Сосиски
item_Pastrami_and_deli_meats,Deli Meats,פסטרמה ונקניקים,Salumi,Fiambres,Charcuterie,لحوم باردة,Мясные деликатесы
item_Pastrami,Pastrami,פסטרמה,Pastrami,Pastrami,Pastrami,بسطرمة,Пастрами
item_Deli_meats,Deli Meats,נקניקים,Salumi,Fiambres,Charcuterie,لحوم باردة,Мясные деликатесы
item_Tofu_and_meat_substitutes,Tofu & Substitutes,טופו ותחליפי בשר,Tofu e sostituti,Tofu y sustitutos,Tofu et substituts,توفو وبدائل,Тофу и его заменители
item_Tofu,Tofu,טופו,Tofu,Tofu,Tofu,توفو,Тофу
item_Meat_substitutes,Meat Substitutes,תחליפי בשר,Sostituti della carne,Sustitutos de carne,Substituts de viande,بدائل اللحوم,Заменители мяса
item_Tomatoes_cucumbers_peppers,Tomatoes & Cucumbers,עגבניות ומלפפונים,Pomodori e cetrioli,Tomates y pepinos,Tomates et concombres,طماطم وخيار,Помидоры и огурцы
item_Tomatoes,Tomatoes,עגבניות,Pomodori,Tomates,Tomates,طماطم,Помидоры
item_Cucumbers,Cucumbers,מלפפונים,Cetrioli,Pepinos,Concombres,خيار,Огурцы
item_Peppers,Peppers,פלפלים,Peperoni,Pimientos,Poivrons,فلفل,Перец
item_Dry_onion_garlic,Onion & Garlic,בצל ושום,Cipolla e aglio,Cebolla y ajo,Oignon et ail,بصل وثوم,Лук и чеснок
item_Dry_onion,Dry Onion,בצל יבש,Cipolla secca,Cebolla seca,Oignon sec,بصل جاف,Сушеный лук
item_Garlic,Garlic,שום,Aglio,Ajo,Ail,ثوم,Чеснок
item_Potatoes_sweet_potatoes,Potatoes,תפוחי אדמה,Patate,Papas,Pommes de terre,بطاطس,Картофель
item_Potatoes,Potatoes,תפוחי אדמה,Patate,Papas,Pommes de terre,بطاطس,Картофель
item_Sweet_potatoes,Sweet Potatoes,בטטות,Patate dolci,Batatas,Patates douces,بطاطا حلوة,Сладкий картофель
item_Carrots_zucchini_eggplants,Carrots & Zucchini,גזר וקישואים,Carote e zucchine,Zanahorias y calabacines,Carottes et courgettes,جزر وكوسا,Морковь и цуккини
item_Carrots,Carrots,גזר,Carote,Zanahorias,Carottes,جزر,Морковь
item_Zucchini,Zucchini,קישואים,Zucchine,Calabacines,Courgettes,كوسا,Цуккини
item_Eggplants,Eggplants,חצילים,Melanzane,Berenjenas,Aubergines,باذنجان,Баклажаны
item_Greens_lettuce_parsley_cilantro_mint_,Greens,ירוקים (חסה,פטרוזיליה),Verdure a foglia,Verduras de hoja,Légumes verts,Зелень
item_Lettuce,Lettuce,חסה,Lattuga,Lechuga,Laitue,خس,Латук
item_Parsley,Parsley,פטרוזיליה,Prezzemolo,Perejil,Persil,بقدونس,Петрушка
item_Cilantro,Cilantro,כוסברה,Coriandolo,Cilantro,Coriandre,كزبرة,Кинза
item_Mint,Mint,נענע,Menta,Menta,Menthe,نعناع,Мята
item_Mushrooms_and_broccoli,Mushrooms & Broccoli,פטריות וברוקולי,Funghi e broccoli,Champiñones y brócoli,Champignons et brocoli,فطر وبروكلي,Грибы и брокколи
item_Mushrooms,Mushrooms,פטריות,Funghi,Champiñones,Champignons,فطر,Грибы
item_Broccoli,Broccoli,ברוקולי,Broccoli,Brócoli,Brocoli,بروكلي,Брокколи
